date,unix_dt,couvain,autre
2020-06-09T12:00:00.000+0000,1591704000,91.246,47:86:41
2020-06-08T12:00:00.000+0000,1591617600,91.87,47:86:41
2020-06-07T12:00:00.000+0000,1591531200,92.366,47:86:41
2020-06-06T12:00:00.000+0000,1591444800,92.842,47:86:41
2020-06-05T12:00:00.000+0000,1591358400,93.273,47:86:41
2020-06-04T12:00:00.000+0000,1591272000,93.475,47:86:41
2020-06-03T12:00:00.000+0000,1591185600,93.754,47:86:41
2020-06-02T12:00:00.000+0000,1591099200,94.15,47:86:41
2020-06-01T12:00:00.000+0000,1591012800,94.493,47:86:41
2020-05-31T12:00:00.000+0000,1590926400,94.676,42:15:83
2020-05-30T12:00:00.000+0000,1590840000,94.589,42:15:83
2020-05-29T12:00:00.000+0000,1590753600,94.73,42:15:83
2020-05-28T12:00:00.000+0000,1590667200,94.549,42:15:83
2020-05-27T12:00:00.000+0000,1590580800,94.32,42:15:83
2020-05-26T12:00:00.000+0000,1590494400,94.21,42:15:83
2020-05-25T12:00:00.000+0000,1590408000,94.156,42:15:83
2020-05-24T12:00:00.000+0000,1590321600,94.008,42:15:83
2020-05-23T12:00:00.000+0000,1590235200,94.015,42:15:83
2020-05-22T12:00:00.000+0000,1590148800,94.07,42:15:83
2020-05-21T12:00:00.000+0000,1590062400,94.118,42:15:83
2020-05-20T12:00:00.000+0000,1589976000,94.115,42:15:83
2020-05-19T12:00:00.000+0000,1589889600,94.056,42:15:83
2020-05-18T12:00:00.000+0000,1589803200,93.979,42:15:83
2020-05-17T12:00:00.000+0000,1589716800,93.829,42:15:83
2020-05-16T12:00:00.000+0000,1589630400,93.719,42:15:83
2020-05-15T12:00:00.000+0000,1589544000,93.661,42:15:83
2020-05-14T12:00:00.000+0000,1589457600,93.429,42:15:83
2020-05-13T12:00:00.000+0000,1589371200,93.359,42:15:83
2020-05-12T12:00:00.000+0000,1589284800,93.329,42:15:83
2020-05-11T12:00:00.000+0000,1589198400,93.206,42:15:83
2020-05-10T12:00:00.000+0000,1589112000,92.78,42:15:83
2020-05-09T12:00:00.000+0000,1589025600,92.095,42:15:83
2020-05-08T12:00:00.000+0000,1588939200,91.517,42:15:83
2020-05-07T12:00:00.000+0000,1588852800,90.851,42:15:83
2020-05-06T12:00:00.000+0000,1588766400,90.277,42:15:83
2020-05-05T12:00:00.000+0000,1588680000,89.805,42:15:83
2020-05-04T12:00:00.000+0000,1588593600,89.644,42:15:83
2020-05-03T12:00:00.000+0000,1588507200,89.799,42:15:83
2020-05-02T12:00:00.000+0000,1588420800,90.274,42:15:83
2020-05-01T12:00:00.000+0000,1588334400,91.022,42:15:83
2020-04-30T12:00:00.000+0000,1588248000,91.909,42:15:83
2020-04-29T12:00:00.000+0000,1588161600,92.895,42:15:83
2020-04-28T12:00:00.000+0000,1588075200,93.519,42:15:83
2020-04-27T12:00:00.000+0000,1587988800,93.624,42:15:83
2020-04-26T12:00:00.000+0000,1587902400,93.307,42:15:83
2020-04-25T12:00:00.000+0000,1587816000,92.906,42:15:83
2020-04-24T12:00:00.000+0000,1587729600,92.639,42:15:83
2020-04-23T12:00:00.000+0000,1587643200,91.311,42:15:83
2020-04-22T12:00:00.000+0000,1587556800,89.46,42:15:83
2020-04-21T12:00:00.000+0000,1587470400,87.251,42:15:83
2020-04-20T12:00:00.000+0000,1587384000,84.679,42:15:83
2020-04-19T12:00:00.000+0000,1587297600,82.04,42:15:83
2020-04-18T12:00:00.000+0000,1587211200,79.314,42:15:83
2020-04-17T12:00:00.000+0000,1587124800,76.789,42:15:83
2020-04-16T12:00:00.000+0000,1587038400,74.206,42:15:83
2020-04-15T12:00:00.000+0000,1586952000,71.849,42:15:83
2020-04-14T12:00:00.000+0000,1586865600,69.258,42:15:83
2020-04-13T12:00:00.000+0000,1586779200,67.002,42:15:83
2020-04-12T12:00:00.000+0000,1586692800,65.113,42:15:83
2020-04-11T12:00:00.000+0000,1586606400,63.691,42:15:83
2020-04-10T12:00:00.000+0000,1586520000,61.962,42:15:83
2020-04-09T12:00:00.000+0000,1586433600,59.252,42:15:83
2020-04-08T12:00:00.000+0000,1586347200,56.607,42:15:83
2020-04-07T12:00:00.000+0000,1586260800,53.904,42:15:83
2020-04-06T12:00:00.000+0000,1586174400,51.419,42:15:83
2020-04-05T12:00:00.000+0000,1586088000,49.681,42:15:83
2020-04-04T12:00:00.000+0000,1586001600,48.154,42:15:83
2020-04-03T12:00:00.000+0000,1585915200,46.604,42:15:83
2020-04-02T12:00:00.000+0000,1585828800,45.237,42:15:83
2020-04-01T12:00:00.000+0000,1585742400,44.223,42:15:83
2020-03-31T12:00:00.000+0000,1585656000,43.279,42:15:83
2020-03-30T12:00:00.000+0000,1585569600,42.623,42:15:83
2020-03-29T12:00:00.000+0000,1585483200,42.398,42:15:83
2020-03-28T12:00:00.000+0000,1585396800,42.177,42:15:83
2020-03-27T12:00:00.000+0000,1585310400,41.26,42:15:83
2020-03-26T12:00:00.000+0000,1585224000,39.788,42:15:83
2020-03-25T12:00:00.000+0000,1585137600,37.736,42:15:83
2020-03-24T12:00:00.000+0000,1585051200,35.425,42:15:83
2020-03-23T12:00:00.000+0000,1584964800,34.25,42:15:83
2020-03-22T12:00:00.000+0000,1584878400,33.903,42:15:83
2020-03-21T12:00:00.000+0000,1584792000,33.007,42:15:83
2020-03-20T12:00:00.000+0000,1584705600,32.138,42:15:83
2020-03-19T12:00:00.000+0000,1584619200,32.898,42:15:83
2020-03-18T12:00:00.000+0000,1584532800,34.433,42:15:83
2020-03-17T12:00:00.000+0000,1584446400,36.144,42:15:83
2020-03-16T12:00:00.000+0000,1584360000,38.056,42:15:83
2020-03-15T12:00:00.000+0000,1584273600,40.728,42:15:83
2020-03-14T12:00:00.000+0000,1584187200,43.096,42:15:83
2020-03-13T12:00:00.000+0000,1584100800,45.116,42:15:83
2020-03-12T12:00:00.000+0000,1584014400,46.53,42:15:83
2020-03-11T12:00:00.000+0000,1583928000,47.146,42:15:83
2020-03-10T12:00:00.000+0000,1583841600,47.652,42:15:83
2020-03-09T12:00:00.000+0000,1583755200,48.359,42:15:83
2020-03-08T12:00:00.000+0000,1583668800,48.624,42:15:83
2020-03-07T12:00:00.000+0000,1583582400,47.776,42:15:83
2020-03-06T12:00:00.000+0000,1583496000,47.195,42:15:83
2020-03-05T12:00:00.000+0000,1583409600,46.788,42:15:83
2020-03-04T12:00:00.000+0000,1583323200,46.022,42:15:83
2020-03-03T12:00:00.000+0000,1583236800,44.911,42:15:83
2020-03-02T12:00:00.000+0000,1583150400,43.965,42:15:83
2020-03-01T12:00:00.000+0000,1583064000,43.106,42:15:83
2020-02-29T12:00:00.000+0000,1582977600,41.752,42:15:83
2020-02-28T12:00:00.000+0000,1582891200,40.556,42:15:83
2020-02-27T12:00:00.000+0000,1582804800,39.45,42:15:83
2020-02-26T12:00:00.000+0000,1582718400,38.452,42:15:83
2020-02-25T12:00:00.000+0000,1582632000,37.995,42:15:83
2020-02-24T12:00:00.000+0000,1582545600,37.91,42:15:83
2020-02-23T12:00:00.000+0000,1582459200,38.633,42:15:83
2020-02-22T12:00:00.000+0000,1582372800,40.032,42:15:83
2020-02-21T12:00:00.000+0000,1582286400,41.126,42:15:83
2020-02-20T12:00:00.000+0000,1582200000,41.695,42:15:83
2020-02-19T12:00:00.000+0000,1582113600,42.444,42:15:83
2020-02-18T12:00:00.000+0000,1582027200,42.837,42:15:83
2020-02-17T12:00:00.000+0000,1581940800,43.175,42:15:83
2020-02-16T12:00:00.000+0000,1581854400,42.524,42:15:83
2020-02-15T12:00:00.000+0000,1581768000,41.389,42:15:83
2020-02-14T12:00:00.000+0000,1581681600,40.082,42:15:83
2020-02-13T12:00:00.000+0000,1581595200,38.39,42:15:83
2020-02-12T12:00:00.000+0000,1581508800,36.327,42:15:83
2020-02-11T12:00:00.000+0000,1581422400,34.292,42:15:83
2020-02-10T12:00:00.000+0000,1581336000,32.68,42:15:83
2020-02-09T12:00:00.000+0000,1581249600,32.036,42:15:83
2020-02-08T12:00:00.000+0000,1581163200,31.609,42:15:83
2020-02-07T12:00:00.000+0000,1581076800,30.441,42:15:83
2020-02-06T12:00:00.000+0000,1580990400,29.201,42:15:83
2020-02-05T12:00:00.000+0000,1580904000,28.117,42:15:83
2020-02-04T12:00:00.000+0000,1580817600,26.97,42:15:83
2020-02-03T12:00:00.000+0000,1580731200,25.596,42:15:83
2020-02-02T12:00:00.000+0000,1580644800,23.836,42:15:83
2020-02-01T12:00:00.000+0000,1580558400,21.805,42:15:83
2020-01-31T12:00:00.000+0000,1580472000,19.587,42:15:83
2020-01-30T12:00:00.000+0000,1580385600,17.186,42:15:83
2020-01-29T12:00:00.000+0000,1580299200,14.536,42:15:83
2020-01-28T12:00:00.000+0000,1580212800,12.056,42:15:83
2020-01-27T12:00:00.000+0000,1580126400,10.497,42:15:83
2020-01-26T12:00:00.000+0000,1580040000,9.173,42:15:83
2020-01-25T12:00:00.000+0000,1579953600,7.985,42:15:83
2020-01-24T12:00:00.000+0000,1579867200,7.287,42:15:83
2020-01-23T12:00:00.000+0000,1579780800,6.841,42:15:83
2020-01-22T12:00:00.000+0000,1579694400,7.179,42:15:83
2020-01-21T12:00:00.000+0000,1579608000,7.305,42:15:83
2020-01-20T12:00:00.000+0000,1579521600,6.847,42:15:83
2020-01-19T12:00:00.000+0000,1579435200,6.38,42:15:83
2020-01-18T12:00:00.000+0000,1579348800,5.599,42:15:83
2020-01-17T12:00:00.000+0000,1579262400,4.862,42:15:83
2020-01-16T12:00:00.000+0000,1579176000,4.269,42:15:83
2020-01-15T12:00:00.000+0000,1579089600,3.59,42:15:83
2020-01-14T12:00:00.000+0000,1579003200,2.918,42:15:83
2020-01-13T12:00:00.000+0000,1578916800,2.332,42:15:83
2020-01-12T12:00:00.000+0000,1578830400,1.433,42:15:83
2020-01-11T12:00:00.000+0000,1578744000,0.824,42:15:83
2020-01-10T12:00:00.000+0000,1578657600,0.53,42:15:83
2020-01-09T12:00:00.000+0000,1578571200,0.381,42:15:83
2020-01-08T12:00:00.000+0000,1578484800,0.672,42:15:83
2020-01-07T12:00:00.000+0000,1578398400,0.591,42:15:83
2020-01-06T12:00:00.000+0000,1578312000,0.377,42:15:83
2020-01-05T12:00:00.000+0000,1578225600,0.157,42:15:83
2020-01-04T12:00:00.000+0000,1578139200,0,42:15:83
2020-01-03T12:00:00.000+0000,1578052800,0,42:15:83
2020-01-02T12:00:00.000+0000,1577966400,0,42:15:83
2020-01-01T12:00:00.000+0000,1577880000,0,42:15:83
