dt,temp,humidity,wind_speed,rain_1h,snow_1h
1611392400,9.48,54,6.69,0,0
1611396000,10.17,54,9.26,0,0
1611399600,10.6,54,8.23,0,0
1611403200,10.19,62,9.26,0,0
1611406800,10.23,76,6.69,0.33,0
1611410400,8.64,87,8.75,1.21,0
1611414000,7.61,87,6.17,0,0
1611417600,7.29,93,2.06,1.21,0
1611421200,6.72,93,2.06,0.33,0
1611424800,6.26,100,2.57,0.33,0
1611428400,6,93,2.06,0.33,0
1611432000,5.9,93,2.06,1.13,0
1611435600,5.84,93,1.54,1.13,0
1611439200,5.58,93,2.06,0,0
1611442800,5.17,100,3.6,0,0
1611446400,5.52,93,2.06,0.33,0
1611450000,5.81,100,3.6,0.33,0
1611453600,5.31,93,4.63,1.85,0
1611457200,3.6,100,3.09,1.85,0
1611460800,3.31,100,4.63,1.85,0
1611464400,3.07,100,3.6,0.33,0
1611468000,3.03,100,2.57,0,0
1611471600,3.07,100,2.57,0,0
1611475200,4.02,93,1.54,0,0
1611478800,4.98,93,2.06,0,0
1611482400,6.54,87,2.57,0,0
1611486000,7.83,76,5.66,0,0
1611489600,8.09,81,8.75,0,0
1611493200,8.29,81,6.69,0.33,0
1611496800,8.74,81,9.26,0.31,0
1611500400,8.34,87,11.32,0.31,0
1611504000,8.55,81,7.2,0,0
1611507600,7.88,81,5.66,0,0
1611511200,7.29,81,4.63,0.33,0
1611514800,7.83,93,2.57,0,0
1611518400,8.22,93,9.26,0.15,0
1611522000,8.12,81,9.26,0,0
1611525600,7.97,87,7.72,0.15,0
1611529200,8.04,93,8.23,0.33,0
1611532800,7.44,93,6.17,0.33,0
1611536400,8.14,93,7.72,0.33,0
1611540000,7.87,100,5.66,0.31,0
1611543600,7.18,93,6.69,0.31,0
1611547200,7.26,93,4.63,0.31,0
1611550800,7.2,93,4.63,0.33,0
1611554400,6.74,100,3.09,0.33,0
1611558000,7.2,93,4.63,0.33,0
1611561600,6.72,100,4.12,1.38,0
1611565200,6.95,93,1.54,1.38,0
1611565200,6.95,93,1.54,1.38,0
1611568800,6.72,100,0.51,1.38,0
1611568800,6.72,100,0.51,1.38,0
1611572400,6.83,93,3.09,0.33,0
1611576000,6.46,87,1.54,0.33,0
1611579600,6.51,87,1.54,0.33,0
1611583200,6.49,87,2.06,0,0
1611586800,6.43,87,1.54,0,0
1611590400,6.49,93,2.06,0,0
1611594000,5.61,100,2.06,0.33,0
1611597600,5.53,93,2.06,0,0
1611601200,4.82,100,1.03,0.33,0
1611604800,3.67,93,1.03,0,0
1611608400,2.98,100,1.03,0,0
1611612000,2.32,100,1.03,0,0
1611615600,1.55,100,1.03,0,0
1611619200,1.37,100,1.03,0,0
1611622800,1.79,100,1.03,0,0
1611626400,2.04,100,1.03,0,0
1611630000,1.99,100,2.57,0,0
1611633600,2.12,100,1.54,0,0
1611637200,2.36,100,1.54,0,0
1611640800,1.64,100,2.06,0,0
1611644400,1.41,100,4.12,0,0
1611648000,1.89,100,3.09,0,0
1611651600,2.6,100,2.06,0,0
1611655200,4.76,93,0.51,0,0
1611658800,7.03,81,1.54,0,0
1611662400,8.24,76,2.57,0,0
1611666000,9.64,62,2.57,0,0
1611669600,10.57,50,1.54,0,0
1611673200,10.55,47,1.03,0,0
1611676800,9.96,58,1.03,0,0
1611680400,8.85,66,1.03,0,0
1611684000,8.74,66,0.51,0,0
1611687600,8.14,76,0.51,0,0
1611691200,8.64,71,2.06,0,0
1611694800,8.56,76,1.54,0,0
1611698400,8.64,76,1.54,0,0
1611702000,8.93,76,1.54,0,0
1611705600,9.18,81,1.54,0,0
1611709200,9.25,87,1.03,0.33,0
1611709200,9.25,87,1.03,0.33,0
1611712800,9.41,100,1.54,0,0
1611716400,10.06,100,1.03,0.58,0
1611716400,10.06,100,1.03,0.58,0
1611720000,11.25,100,4.12,0.58,0
1611723600,11.42,100,4.63,0.33,0
1611727200,11.32,94,4.12,0.33,0
1611727200,11.32,94,4.12,0.33,0
1611730800,11.86,100,3.09,0.33,0
1611730800,11.86,100,3.09,0.33,0
1611734400,11.87,100,3.09,0.65,0
1611738000,12.33,94,5.14,0.65,0
1611738000,12.33,94,5.14,0.65,0
1611741600,12.33,94,4.12,0.65,0
1611741600,12.33,94,4.12,0.65,0
1611745200,12.73,100,4.63,0.33,0
1611745200,12.73,100,4.63,0.33,0
1611748800,12.63,100,5.14,0.33,0
1611748800,12.63,100,5.14,0.33,0
1611752400,12.72,100,5.66,0,0
1611756000,12.78,100,4.63,0.56,0
1611759600,12.76,100,4.63,0.56,0
1611759600,12.76,100,4.63,0.56,0
1611763200,12.6,100,4.63,0.56,0
1611763200,12.6,100,4.63,0.56,0
1611766800,12.85,100,5.66,0,0
1611766800,12.85,100,5.66,0,0
1611770400,12.77,100,5.14,0,0
1611774000,12.85,100,5.66,0,0
1611777600,12.89,100,4.63,0,0
1611781200,12.74,100,4.12,0,0
1611784800,12.66,100,4.12,0,0
1611788400,12.69,100,4.12,0.33,0
1611792000,12.36,100,3.6,0,0
1611795600,12.44,100,3.09,0,0
1611799200,12.14,94,1.54,0,0
1611802800,11.73,94,2.43,0,0
1611806400,11.57,100,1.54,0,0
1611810000,10.57,94,1.03,0,0
1611813600,10.17,94,0.69,0,0
1611817200,10.57,100,1.54,0,0
1611820800,10.94,100,2.06,0,0
1611824400,11.91,94,2.06,0,0
1611828000,13.02,94,1.54,0,0
1611831600,14.72,77,3.09,0,0
1611835200,15.61,72,3.09,0,0
1611838800,16.42,68,2.06,0,0
1611842400,16.36,72,0.51,0,0
1611846000,16.4,67,1.03,0,0
1611849600,16.76,63,0.51,0,0
1611853200,13.31,77,1.54,0,0
1611856800,11.16,88,1.03,0,0
